1,Ranked Duel 1v1,Silver I,Division IV,449,,,8,5,1,,anto190201,,
2,Ranked Doubles 2v2,Gold I,Division I,603,~8,~13,127,5,1,,anto190201,,
3,Ranked Standard 3v3,Silver III,Division IV,595,,,7,5,1,,anto190201,,
4,Ranked Doubles 2v2,Platinum I,Division I,808,~13,~8,171,1,2,,mmendesc,,
5,Ranked Standard 3v3,Platinum III,Division III,983,~21,~1,237,1,2,,mmendesc,,
6,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,1,,Vinci279,,
7,Ranked Doubles 2v2,Silver III,Division IV,588,~16,~5,89,6,1,,Vinci279,,
8,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,1,,Vinci279,,
9,Ranked Standard 3v3,Gold I,Division I,605,~6,~15,32,6,1,,Vinci279,,
10,Ranked Doubles 2v2,Platinum II,Division III,928,~6,~16,171,2,2,,m_makarios,,
11,Ranked Standard 3v3,Diamond I,Division II,1038,~14,~8,247,2,2,,m_makarios,,
12,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,2,,m_makarios,,
13,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,2,,GuiConti,,
14,Ranked Standard 3v3,Diamond I,Division II,1037,~15,~7,247,4,2,,GuiConti,,
15,Ranked Doubles 2v2,Platinum I,Division I,808,~13,~8,171,1,3,,mmendesc,,
16,Ranked Standard 3v3,Platinum II,Division II,904,~8,~14,250,1,3,,mmendesc,,
17,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,2,,Vinci279,,
18,Ranked Doubles 2v2,Silver III,Division IV,588,~16,~5,89,6,2,,Vinci279,,
19,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,2,,Vinci279,,
20,Ranked Standard 3v3,Gold I,Division I,605,~6,~15,32,6,2,,Vinci279,,
21,Ranked Doubles 2v2,Platinum II,Division III,928,~6,~16,171,2,3,,m_makarios,,
22,Ranked Standard 3v3,Platinum III,Division I,960,~1,~20,260,2,3,,m_makarios,,
23,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,3,,m_makarios,,
24,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,3,,GuiConti,,
25,Ranked Standard 3v3,Platinum III,Division I,959,~2,~19,260,4,3,,GuiConti,,
26,Ranked Doubles 2v2,Platinum I,Division I,808,~13,~8,171,1,4,,mmendesc,,
27,Ranked Standard 3v3,Platinum II,Division II,904,~8,~14,250,1,4,,mmendesc,,
28,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,3,,Vinci279,,
29,Ranked Doubles 2v2,Silver III,Division IV,588,~16,~5,89,6,3,,Vinci279,,
30,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,3,,Vinci279,,
31,Ranked Standard 3v3,Gold I,Division I,605,~6,~15,32,6,3,,Vinci279,,
32,Ranked Doubles 2v2,Platinum II,Division III,928,~6,~16,171,2,4,,m_makarios,,
33,Ranked Standard 3v3,Platinum III,Division I,960,~1,~20,260,2,4,,m_makarios,,
34,Ranked Duel 1v1,Gold III,Division III,763,~12,~9,12,2,4,,m_makarios,,
35,Ranked Doubles 2v2,Platinum III,Division II,968,~14,~8,81,4,4,,GuiConti,,
36,Ranked Standard 3v3,Platinum III,Division I,959,~2,~19,260,4,4,,GuiConti,,
37,Ranked Doubles 2v2,Platinum I,Division I,808,~13,~8,171,1,5,,mmendesc,,
38,Ranked Standard 3v3,Platinum II,Division II,906,~6,~16,260,1,5,,mmendesc,,
39,Ranked Duel 1v1,Gold I,Division III,629,,,1,6,4,,Vinci279,,
40,Ranked Doubles 2v2,Silver III,Division IV,588,~16,~5,89,6,4,,Vinci279,,
41,Ranked Solo Standard 3v3,Gold I,Division II,602,~15,~4,23,6,4,,Vinci279,,
